BARCODE,Name,Number,GROUP,SAMPLE
MID1,"Bacteria ""Firmicutes"" ""Clostridia"" Halanaerobiales Halanaerobiaceae Halocella",3,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Firmicutes"" ""Clostridia"" Halanaerobiales Halanaerobiaceae Halothermothrix",1,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Firmicutes"" ""Erysipelotrichi"" ""Erysipelotrichales"" Erysipelotrichaceae Allobaculum",1,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Firmicutes"" ""Erysipelotrichi"" ""Erysipelotrichales"" Erysipelotrichaceae Catenibacterium",1,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Fusobacteria"" ""Fusobacteria"" ""Fusobacteriales"" ""Leptotrichiaceae"" Streptobacillus",1,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Nitrospira"" ""Nitrospira"" ""Nitrospirales"" ""Nitrospiraceae"" Nitrospira",3,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Planctomycetes"" ""Planctomycetacia"" Planctomycetales Planctomycetaceae Gemmata",7,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Planctomycetes"" ""Planctomycetacia"" Planctomycetales Planctomycetaceae Isosphaera",2,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Planctomycetes"" ""Planctomycetacia"" Planctomycetales Planctomycetaceae Singulisphaera",1,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria  Alphaproteobacteria_incertae_sedis Elioraea",1,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Caulobacterales Caulobacteraceae Brevundimonas",13,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhizobiales Hyphomicrobiaceae Methylorhabdus",1,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhizobiales Methylocystaceae Terasakiella",1,EXTRACTION CONTROL,unknown
